,Middle Layer Super Output Areas Code,age,Count
799,W02000085,90-100,105
800,W02000087,0-10,1219
801,W02000087,10-20,1062
802,W02000087,20-30,839
803,W02000087,30-40,975
804,W02000087,40-50,815
805,W02000087,50-60,838
806,W02000087,60-70,560
807,W02000087,70-80,392
808,W02000087,80-90,137
809,W02000087,90-100,33
810,W02000088,0-10,1035
811,W02000088,10-20,876
812,W02000088,20-30,1342
813,W02000088,30-40,1387
814,W02000088,40-50,1187
815,W02000088,50-60,1111
816,W02000088,60-70,802
817,W02000088,70-80,603
818,W02000088,80-90,276
819,W02000088,90-100,58
820,W02000089,0-10,1241
821,W02000089,10-20,935
822,W02000089,20-30,1196
823,W02000089,30-40,1350
824,W02000089,40-50,1125
825,W02000089,50-60,1151
826,W02000089,60-70,809
827,W02000089,70-80,536
828,W02000089,80-90,232
829,W02000089,90-100,45
830,W02000090,0-10,728
831,W02000090,10-20,687
832,W02000090,20-30,577
833,W02000090,30-40,665
834,W02000090,40-50,700
835,W02000090,50-60,853
836,W02000090,60-70,754
837,W02000090,70-80,515
838,W02000090,80-90,195
839,W02000090,90-100,25
840,W02000091,0-10,752
841,W02000091,10-20,668
842,W02000091,20-30,678
843,W02000091,30-40,814
844,W02000091,40-50,704
845,W02000091,50-60,929
846,W02000091,60-70,755
847,W02000091,70-80,578
848,W02000091,80-90,274
849,W02000091,90-100,44
850,W02000092,0-10,816
851,W02000092,10-20,832
852,W02000092,20-30,833
853,W02000092,30-40,868
854,W02000092,40-50,855
855,W02000092,50-60,949
856,W02000092,60-70,728
857,W02000092,70-80,579
858,W02000092,80-90,212
859,W02000092,90-100,59
860,W02000093,0-10,784
861,W02000093,10-20,719
862,W02000093,20-30,714
863,W02000093,30-40,741
864,W02000093,40-50,881
865,W02000093,50-60,1034
866,W02000093,60-70,795
867,W02000093,70-80,632
868,W02000093,80-90,215
869,W02000093,90-100,37
870,W02000094,0-10,1195
871,W02000094,10-20,1098
872,W02000094,20-30,995
873,W02000094,30-40,1106
874,W02000094,40-50,1087
875,W02000094,50-60,1286
876,W02000094,60-70,941
877,W02000094,70-80,817
878,W02000094,80-90,320
879,W02000094,90-100,47
880,W02000095,0-10,650
881,W02000095,10-20,663
882,W02000095,20-30,488
883,W02000095,30-40,609
884,W02000095,40-50,757
885,W02000095,50-60,1079
886,W02000095,60-70,985
887,W02000095,70-80,806
888,W02000095,80-90,305
889,W02000095,90-100,48
890,W02000096,0-10,731
891,W02000096,10-20,675
892,W02000096,20-30,627
893,W02000096,30-40,652
894,W02000096,40-50,796
895,W02000096,50-60,1017
896,W02000096,60-70,917
897,W02000096,70-80,670
898,W02000096,80-90,304
899,W02000096,90-100,67
900,W02000097,0-10,941
901,W02000097,10-20,903
902,W02000097,20-30,763
903,W02000097,30-40,875
904,W02000097,40-50,1056
905,W02000097,50-60,1490
906,W02000097,60-70,1423
907,W02000097,70-80,1256
908,W02000097,80-90,505
909,W02000097,90-100,96
910,W02000098,0-10,613
911,W02000098,10-20,633
912,W02000098,20-30,567
913,W02000098,30-40,607
914,W02000098,40-50,726
915,W02000098,50-60,1027
916,W02000098,60-70,920
917,W02000098,70-80,755
918,W02000098,80-90,362
919,W02000098,90-100,55
920,W02000099,0-10,752
921,W02000099,10-20,701
922,W02000099,20-30,869
923,W02000099,30-40,697
924,W02000099,40-50,743
925,W02000099,50-60,950
926,W02000099,60-70,810
927,W02000099,70-80,678
928,W02000099,80-90,357
929,W02000099,90-100,76
930,W02000100,0-10,608
931,W02000100,10-20,586
932,W02000100,20-30,548
933,W02000100,30-40,589
934,W02000100,40-50,726
935,W02000100,50-60,1044
936,W02000100,60-70,980
937,W02000100,70-80,747
938,W02000100,80-90,309
939,W02000100,90-100,68
940,W02000101,0-10,539
941,W02000101,10-20,529
942,W02000101,20-30,544
943,W02000101,30-40,492
944,W02000101,40-50,633
945,W02000101,50-60,875
946,W02000101,60-70,792
947,W02000101,70-80,738
948,W02000101,80-90,346
949,W02000101,90-100,45
950,W02000102,0-10,605
951,W02000102,10-20,622
952,W02000102,20-30,563
953,W02000102,30-40,559
954,W02000102,40-50,693
955,W02000102,50-60,1034
956,W02000102,60-70,954
957,W02000102,70-80,791
958,W02000102,80-90,275
959,W02000102,90-100,51
960,W02000103,0-10,557
961,W02000103,10-20,567
962,W02000103,20-30,528
963,W02000103,30-40,512
964,W02000103,40-50,651
965,W02000103,50-60,964
966,W02000103,60-70,875
967,W02000103,70-80,790
968,W02000103,80-90,290
969,W02000103,90-100,61
970,W02000104,0-10,618
971,W02000104,10-20,650
972,W02000104,20-30,723
973,W02000104,30-40,720
974,W02000104,40-50,724
975,W02000104,50-60,856
976,W02000104,60-70,831
977,W02000104,70-80,682
978,W02000104,80-90,334
979,W02000104,90-100,55
980,W02000105,0-10,821
981,W02000105,10-20,730
982,W02000105,20-30,714
983,W02000105,30-40,669
984,W02000105,40-50,599
985,W02000105,50-60,652
986,W02000105,60-70,471
987,W02000105,70-80,326
988,W02000105,80-90,142
989,W02000105,90-100,38
990,W02000106,0-10,635
991,W02000106,10-20,628
992,W02000106,20-30,560
993,W02000106,30-40,614
994,W02000106,40-50,674
995,W02000106,50-60,1055
996,W02000106,60-70,1063
997,W02000106,70-80,829
998,W02000106,80-90,381
999,W02000106,90-100,53
1000,W02000107,0-10,895
1001,W02000107,10-20,881
1002,W02000107,20-30,833
1003,W02000107,30-40,845
1004,W02000107,40-50,947
1005,W02000107,50-60,1529
1006,W02000107,60-70,1709
1007,W02000107,70-80,1448
1008,W02000107,80-90,587
1009,W02000107,90-100,96
1010,W02000108,0-10,729
1011,W02000108,10-20,641
1012,W02000108,20-30,618
1013,W02000108,30-40,638
1014,W02000108,40-50,683
1015,W02000108,50-60,1054
1016,W02000108,60-70,1251
1017,W02000108,70-80,1058
1018,W02000108,80-90,473
1019,W02000108,90-100,75
1020,W02000109,0-10,593
1021,W02000109,10-20,531
1022,W02000109,20-30,539
1023,W02000109,30-40,599
1024,W02000109,40-50,609
1025,W02000109,50-60,791
1026,W02000109,60-70,792
1027,W02000109,70-80,717
1028,W02000109,80-90,361
1029,W02000109,90-100,73
1030,W02000110,0-10,667
1031,W02000110,10-20,674
1032,W02000110,20-30,606
1033,W02000110,30-40,634
1034,W02000110,40-50,752
1035,W02000110,50-60,1088
1036,W02000110,60-70,1113
1037,W02000110,70-80,906
1038,W02000110,80-90,346
1039,W02000110,90-100,57
1040,W02000111,0-10,786
1041,W02000111,10-20,774
1042,W02000111,20-30,713
1043,W02000111,30-40,792
1044,W02000111,40-50,949
1045,W02000111,50-60,1392
1046,W02000111,60-70,1333
1047,W02000111,70-80,1167
1048,W02000111,80-90,459
