,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
82585,W02000027,Conwy 001,1,Never married and never registered a civil partnership,2698
82586,W02000027,Conwy 001,2,Married: Opposite sex,2716
82587,W02000027,Conwy 001,3,Married: Same sex,17
82588,W02000027,Conwy 001,4,In a registered civil partnership: Opposite sex,4
82589,W02000027,Conwy 001,5,In a registered civil partnership: Same sex,15
82590,W02000027,Conwy 001,6,"Separated, but still married",197
82591,W02000027,Conwy 001,7,"Separated, but still in a registered civil partnership",1
82592,W02000027,Conwy 001,8,Divorced,974
82593,W02000027,Conwy 001,9,Formerly in a civil partnership now legally dissolved,2
82594,W02000027,Conwy 001,10,Widowed,753
82595,W02000027,Conwy 001,11,Surviving partner from civil partnership,3
82596,W02000028,Conwy 002,-8,Does not apply,1147
82597,W02000028,Conwy 002,1,Never married and never registered a civil partnership,1889
82598,W02000028,Conwy 002,2,Married: Opposite sex,2387
82599,W02000028,Conwy 002,3,Married: Same sex,11
82600,W02000028,Conwy 002,4,In a registered civil partnership: Opposite sex,8
82601,W02000028,Conwy 002,5,In a registered civil partnership: Same sex,6
82602,W02000028,Conwy 002,6,"Separated, but still married",92
82603,W02000028,Conwy 002,7,"Separated, but still in a registered civil partnership",2
82604,W02000028,Conwy 002,8,Divorced,619
82605,W02000028,Conwy 002,9,Formerly in a civil partnership now legally dissolved,0
82606,W02000028,Conwy 002,10,Widowed,548
82607,W02000028,Conwy 002,11,Surviving partner from civil partnership,0
82608,W02000029,Conwy 003,-8,Does not apply,805
82609,W02000029,Conwy 003,1,Never married and never registered a civil partnership,1335
82610,W02000029,Conwy 003,2,Married: Opposite sex,2676
82611,W02000029,Conwy 003,3,Married: Same sex,11
82612,W02000029,Conwy 003,4,In a registered civil partnership: Opposite sex,2
82613,W02000029,Conwy 003,5,In a registered civil partnership: Same sex,4
82614,W02000029,Conwy 003,6,"Separated, but still married",79
82615,W02000029,Conwy 003,7,"Separated, but still in a registered civil partnership",1
82616,W02000029,Conwy 003,8,Divorced,531
82617,W02000029,Conwy 003,9,Formerly in a civil partnership now legally dissolved,0
82618,W02000029,Conwy 003,10,Widowed,554
82619,W02000029,Conwy 003,11,Surviving partner from civil partnership,4
